MinC,case,fgc,med,rat,rec,rem,work
1,1,629,12,0.3348032577390376,2,629,1061331
1,1,665,12,0.3430391577180568,2,665,1081524
1,1,613,12,0.32142135077914896,2,613,1037324
1,1,646,12,0.3290011253314006,2,646,1043745
1,1,641,12,0.3315836655286197,2,641,1038611
1,1,626,12,0.3234622060310134,2,626,1032245
1,1,634,12,0.3291651566880925,2,634,1034915
1,1,636,12,0.32809323084552444,2,636,1040464
1,1,628,12,0.3321024623776917,2,628,1045040
1,1,624,12,0.3240038909763681,2,624,1021662
1,1,634,12,0.3290774189856759,2,634,1031405
1,1,616,12,0.3266398367315799,2,616,1029410
1,1,630,12,0.3297716912395812,2,630,1034875
1,1,649,12,0.34604894237921763,2,649,1064444
1,1,649,12,0.3324610425527857,2,649,1058858
1,1,642,12,0.31688569303248204,2,642,1037104
1,1,643,12,0.3340441358789983,2,643,1046575
1,1,626,12,0.3216616757901162,2,626,1043591
1,1,631,12,0.33627572526655103,2,631,1046500
1,1,611,12,0.3205172709759866,2,611,1019449
1,1,645,12,0.3311411623338229,2,645,1038712
1,1,634,8,0.3323313433405177,2,634,1063780
1,1,633,12,0.3277575387667131,2,633,1035147
1,1,623,12,0.32323713975090124,2,623,1023773
1,1,636,12,0.3333117167979553,2,636,1041865
1,1,646,12,0.3399874115470446,2,646,1066059
1,1,644,8,0.3288332792919949,2,644,1036876
1,1,653,12,0.33858360830837897,2,653,1073748
1,1,646,8,0.3335177096644987,2,646,1040870
1,1,629,12,0.3351084323561388,2,629,1048443
1,1,635,12,0.3117244273207576,2,635,1039435
1,1,644,12,0.34108604016860905,2,644,1066831
1,1,676,8,0.3300196456159759,2,676,1052158
1,1,644,12,0.3273379236681989,2,644,1034876
1,1,642,12,0.3330446890079918,2,642,1050123
1,1,627,8,0.33068721509088483,2,627,1038330
1,1,646,12,0.3282000419615099,2,646,1067347
1,1,637,12,0.3297488031432986,2,637,1035634
1,1,638,12,0.3317934730778768,2,638,1042555
1,1,649,12,0.32922237692879897,2,649,1042228
1,1,635,12,0.3367754487020542,2,635,1046861
1,1,627,12,0.3302408972133743,2,627,1048102
1,1,628,8,0.3192698697285853,2,628,1033315
1,1,631,12,0.3237826393789697,2,631,1024929
1,1,641,4,0.3233286921360316,2,641,1035081
1,1,642,8,0.3376032348509413,2,642,1055231
1,1,645,12,0.3284823284823285,2,645,1049512
1,1,631,12,0.3237368631864045,2,631,1031084
1,1,646,12,0.3365732705182247,2,646,1050963
1,1,641,12,0.33959068454481295,2,641,1059926
1,1,622,8,0.3204867535142765,2,622,1024168
1,1,631,12,0.3261858894886418,2,631,1039249
1,1,616,8,0.3253275858780446,2,616,1041635
1,1,635,8,0.3161647179995804,2,635,1026382
1,1,639,12,0.3313585992485075,2,639,1046014
