,fgc,min,n,rec,rem,work
0,6.7751,6.5023,64,0.0,6.3236,105.6383
1,7.794,7.5059,128,0.0379,7.3253,213.1355
2,9.0218,8.837,256,0.9999,8.795,481.4134
3,10.3882,10.1034,512,1.0,10.0128,988.7506
4,11.0796,10.8747,1024,1.0,11.0357,1998.5919
5,12.6119,12.0548,2048,1.0,12.4951,4025.582
6,13.4224,13.1873,4096,1.0,13.1777,8081.2161
7,14.9534,14.446,8192,1.0,14.947,16212.5191
8,15.8768,15.5126,16384,1.0,15.429,32433.8342
9,17.0292,16.7477,32768,1.0,17.0138,64924.1631
10,18.3866,17.8917,65536,1.0,18.1397,129866.6834
11,19.2364,19.0358,131072,1.0,19.1089,259787.4019
12,20.8606,20.30305,262144,1.0,20.8337,519607.29905
13,21.6939,21.3713,524288,1.0,21.3017,1039236.9602
14,23.002,22.6349,1048576,1.0,22.9975,2078510.7086
