,fgc,min,n,rec,rem,work
0,6.9078,6.6304,64,0.0,6.414,102.6204
1,8.0657,7.754,128,0.2438,7.5555,213.7196
2,9.2827,9.1129,256,1.0,9.1066,470.2014
3,10.9532,10.6498,512,1.0,10.564,983.482
4,11.496,11.2549,1024,1.0,11.1976,2004.6687
5,12.9306,12.6537,2048,1.0,12.5525,4060.2106
6,14.1008,13.7793,4096,1.0,13.6616,8135.3163
7,15.2179,15.0118,8192,1.0,15.0444,16318.2413
8,16.75,16.4282,16384,1.0,16.3268,32678.6706
9,17.857,17.5255,32768,1.0,17.3915,65376.7969
10,18.3866,17.8917,65536,1.0,18.1397,129866.6834
11,20.7718,18.3578,131072,1.0,20.7718,257007.15
12,21.0419,19.3996,262144,1.0,21.0419,514018.3395
13,22.9562,20.5517,524288,1.0,22.9562,1028084.6939
14,23.1971,21.597,1048576,1.0,23.1971,2056212.5982
