fgc,min,rec,rem,work
25,24,1,25,8312302
25,25,1,25,8312923
25,25,1,25,8315170
25,25,1,25,8318546
25,25,1,25,8313462
25,25,1,25,8314326
25,24,1,25,8315240
25,25,1,25,8316182
25,25,1,25,8313050
25,25,1,25,8310782
26,25,1,26,8314961
26,26,1,25,8315964
25,24,1,25,8314804
25,25,1,25,8309283
25,25,1,25,8312142
25,25,1,25,8314503
25,25,1,25,8315024
25,25,1,25,8315087
25,25,1,25,8312131
25,25,1,25,8315208
25,25,1,25,8313223
25,25,1,25,8315235
25,24,1,25,8311721
26,25,1,26,8317041
25,25,1,25,8314297
26,26,1,25,8315932
25,25,1,25,8312468
25,25,1,25,8314514
25,25,1,25,8312510
25,25,1,25,8313705
25,25,1,25,8311707
25,25,1,25,8313435
25,25,1,25,8313866
25,25,1,25,8316134
25,25,1,25,8317193
25,25,1,25,8315829
26,26,1,25,8314129
25,25,1,25,8312625
25,25,1,25,8315684
25,25,1,25,8315368
25,24,1,25,8312900
25,25,1,25,8316038
25,25,1,25,8312849
25,25,1,25,8313490
25,25,1,25,8316214
25,25,1,25,8316815
25,25,1,25,8314461
26,26,1,25,8315020
26,26,1,25,8315340
25,25,1,25,8312927
